"Employee No","Employee Name","Total Hours","Total Available Hours","Total Work Hours","Total Leave Hours","Total Training Hours","Total BD Hours","Total NC Hours","Total Utilization%","No of Working Years","Profit Center","Employee Position","Employee Location","Employee Category","Supervisor name","People Group","Current Status"
161,"Martina Charline",4168,3642,3263.5,480,46,0,502,89.8,4.84,"PC - 2","Level 6","Location 9","Confirmed Staff","Marleah Bernadina","Client Service Staff",Active
162,"Roslyn Donielle",4168,3574.25,3506.75,576,17.75,0,231.5,98.19,4.84,"PC - 3","Level 6","Location 1","Confirmed Staff","Nikolia Shirl","Client Service Staff",Active
163,"Gabriell Kimberlyn",3392,3016,2568,376,0,64,502,87.44,4.84,"PC - 3","Level 6","Location 2","Confirmed Staff","Rosabel Saidee","Client Service Staff",Active
164,"Brittney Drusie",192,192,96,0,0,0,80,33.34,3.00,"PC - 3","Level 6","Location 1","Serving Notice Period","Cordey Sofia","Client Service Staff",Resigned
165,"Benedikta Kirbee",4168,3669.75,3234.75,456,42.25,0,566,88.35,4.84,"PC - 3","Level 5","Location 1","Confirmed Staff","Revkah Stephie","Client Service Staff",Active
166,"Farah Margarethe",4168,3789,3792,352,27,0,48,100.1,4.84,"PC - 3","Level 7","Location 1","Confirmed Staff","Nerita Anet","Client Service Staff",Active
167,"Ashla Charmane",4168,3631.5,3392,528,8.5,0,335.5,93.4,4.84,"PC - 3","Level 6","Location 1","Confirmed Staff","Vonni Bethena","Client Service Staff",Active
168,"Fan Ivett",2208,2033.5,666,160,14.5,0,1367.5,17.4,3.92,"PC - 5","Level 6","Location 1","Serving Notice Period","Guenevere Florida","Client Service Staff",Resigned
169,"Talia Mable",368,360,120,8,0,0,240,16.66,3.08,"PC - 3","Level 7","Location 1","Serving Notice Period","Nerita Anet","Client Service Staff",Resigned
170,"Eveline Ruthanne",4168,3531,3599,600,37,0,349,101.82,4.84,"PC - 2","Level 6","Location 7","Confirmed Staff","Marys Essy","Client Service Staff",Active
171,"Bertine Davine",2488,2174,2034.01,280,34,0,276.99,96.9,4.84,"PC - 2","Level 7","Location 7","Serving Notice Period","Laetitia Yoshi","Client Service Staff",Active
172,"Trisha Edi",4168,4168,4048,0,0,0,120,97.12,4.84,"PC - 6","Level 6","Location 1","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
173,"Felicia Catherina",2944,2576,2281,356,12,0,564,88.16,4.75,"PC - 6","Level 7","Location 7","Confirmed Staff","Pamelina Shalna","Client Service Staff",Active
174,"Andria Eolande",808,752,568,48,8,36,176,37.76,3.17,"PC - 6","Level 8","Location 7","Serving Notice Period","Frances Mignonne","Client Service Staff",Resigned
175,"Belle Kora",4168,3588,3369,552,28,104,262,93.9,4.75,"PC - 2","Level 7","Location 9","Confirmed Staff","Jolyn Briney","Client Service Staff",Active
176,"Clementina Neila",4168,3545,3009.5,573,50,24,552,84.9,4.75,"PC - 2","Level 7","Location 7","Confirmed Staff","Sile Lorrie","Client Service Staff",Active
177,"Sheila Papagena",4168,3641.84,3451.84,448,78.16,0,235,94.82,4.75,"PC - 1","Level 6","Location 3","Confirmed Staff","Ardys Katerine","Client Service Staff",Active
178,"Tamiko Roselia",4168,3621.5,2835,472,74.5,0,793.5,78.42,4.75,"PC - 5","Level 6","Location 1","Confirmed Staff","Willette Lil","Client Service Staff",Active
179,"Margret Maure",3048,2313.5,2280,732,2.5,0,453.5,99.9,4.75,"PC - 5","Level 7","Location 1","Confirmed Staff","Orsa Margeaux","Client Service Staff",Active
180,"Crysta Ofelia",4168,3715.25,2854.25,424,28.75,0,1363,76.96,4.75,"PC - 1","Level 6","Location 3","Confirmed Staff","Trudey Lissi","Client Service Staff",Active
181,"Gloria Robbyn",4168,3748.75,3594.5,348,71.25,0,327.5,96.08,4.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Cherry Fancie","Client Service Staff",Active
182,"Fanni Jacki",3048,2760,2608,288,0,0,152,92.34,4.75,"PC - 1","Level 6","Location 3","Confirmed Staff","Cynthia Leonora","Client Service Staff",Active
183,"Guillemette Gerda",4168,3385.25,3771,684,98.75,0,108.5,111.78,4.75,"PC - 3","Level 6","Location 4","Confirmed Staff","Oriana Tabby","Client Service Staff",Active
184,"Deeann Dela",4168,3686.5,3038,456,25.5,16,1108.5,82.86,4.75,"PC - 3","Level 7","Location 5","Confirmed Staff","Kylen Evania","Client Service Staff",Active
185,"Melosa Ingunna",920,829,672,88,3,152,32,40.53,3.25,"PC - 1","Level 7","Location 3","Serving Notice Period","Katuscha Pru","Client Service Staff",Resigned
186,"Vanessa Phillie",4168,3128,2514,1004,36,0,646,77.95,4.75,"PC - 3","Level 6","Location 4","Confirmed Staff","Danette Melinda","Client Service Staff",Active
187,"Kali Gwendolyn",3992,1935.85,1348.35,2187,25.15,184.5,463,49.02,4.75,"PC - 3","Level 5","Location 1","Confirmed Staff","Zaria Dawn","Client Service Staff",Active
188,"Morgen Hailee",4168,3662.5,3716.5,472,33.5,0,202,101.56,4.75,"PC - 5","Level 5","Location 1","Confirmed Staff","Guenevere Florida","Client Service Staff",Active
189,"Eleonore Venus",1168,1104,493,64,0,0,619,22.33,3.34,"PC - 1","Level 8","Location 3","Serving Notice Period","Cynthia Leonora","Client Service Staff",Resigned
190,"Devonna Karlen",4168,3699,3319,424,45,56,428,89.69,4.75,"PC - 2","Level 7","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
191,"Allyson Ronnie",4168,3505.5,3676.5,613,49.5,0,16.5,104.8,4.75,"PC - 6","Level 7","Location 1","Confirmed Staff","Gert Editha","Client Service Staff",Active
192,"Valaria Nichol",4168,3948,4048,208,12,0,112,102.5,4.67,"PC - 3","Level 7","Location 1","Confirmed Staff","Yolanthe Laurella","Client Service Staff",Active
193,"Fenelia Dyanne",4168,3648.5,3696,488,31.5,0,35.5,101.3,4.67,"PC - 3","Level 7","Location 1","Confirmed Staff","Agata Theodosia","Client Service Staff",Active
194,"Nollie Elene",4168,3348.5,3088,692,127.5,0,482.5,91.02,4.67,"PC - 2","Level 6","Location 7","Confirmed Staff","Nancee Deirdre","Client Service Staff",Active
195,"Sherill Minerva",2928,2556.5,1966,352,19.5,0,605.5,69.8,4.67,"PC - 3","Level 6","Location 4","Confirmed Staff","Oriana Tabby","Client Service Staff",Active
196,"Nanine Prudy",3088,3006,409,80,2,0,2622,14.53,4.67,"PC - 3","Level 5","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
197,"Tressa Cari",4168,3781,2442,332,55,0,1387,64.36,4.67,"PC - 3","Level 6","Location 1","Confirmed Staff","Cordey Sofia","Client Service Staff",Active
198,"Henrietta Isidora",4168,2486,2402,1680,2,0,220,93.15,4.67,"PC - 5","Level 7","Location 1","Confirmed Staff","Orsa Margeaux","Client Service Staff",Active
199,"Mira Fiorenze",4168,3641,2502,436,91,228,1045,68.88,4.67,"PC - 6","Level 6","Location 7","Confirmed Staff","Frances Mignonne","Client Service Staff",Active
200,"Dottie Bidget",4168,3544.5,1394,552,71.5,2194.5,6,39.78,4.67,"PC - 3","Level 4","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
201,"Tatiana Roxanna",4168,3643.5,2686,372,152.5,0,1227,72.99,4.67,"PC - 2","Level 5","Location 7","Confirmed Staff","Dore Natalya","Client Service Staff",Active
202,"Juliette Sheila-Kathryn",2240,560,0,1680,0,0,240,0,4.67,"PC - 3","Level 7","Location 1","Serving Notice Period","Revkah Stephie","Support Staff",Active
203,"Kati Rosalyn",4168,3553,2443,476,139,855,487,68.97,4.58,"PC - 6","Level 6","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
204,"Gennie Antonella",648,604,278,40,4,0,326,23.02,2.84,"PC - 5","Level 5","Location 1","Serving Notice Period","Guenevere Florida","Client Service Staff",Resigned
205,"Gerri Kristy",1688,1068,764,608,12,0,364,72.54,3.00,"PC - 3","Level 7","Location 1","Serving Notice Period","Eydie Francine","Client Service Staff",Resigned
206,"Micheline Kissie",1064,976,960,88,0,0,40,49.18,3.09,"PC - 5","Level 6","Location 3","Serving Notice Period","Rina Debee","Client Service Staff",Resigned
207,"Jaquith Sarah",4168,3625,2635,436,107,0,1184,72.82,4.50,"PC - 6","Level 6","Location 7","Confirmed Staff","Frances Mignonne","Client Service Staff",Active
208,"Stormy Gertie",808,742,58,56,10,0,684,3.91,2.92,"PC - 5","Level 6","Location 1","Serving Notice Period","Willette Lil","Client Service Staff",Resigned
209,"Jennilee Hedvige",4168,2751,1485,1400,17,0,1279,49.12,4.42,"PC - 3","Level 7","Location 1","Confirmed Staff","Kathye Edna","Client Service Staff",Active
210,"Audi Stephana",4168,3727,2077,400,41,1353,321,55.62,4.42,"PC - 1","Level 4","Location 3","Confirmed Staff","Rochette Jilleen","Client Service Staff",Active
211,"Hildegarde Lavinie",888,745,700,84,59,0,96,46.98,2.92,"PC - 6","Level 8","Location 7","Serving Notice Period","Frances Mignonne","Client Service Staff",Resigned
212,"Yvonne Annora",4168,3754,2813,360,54,0,960,75.39,4.42,"PC - 3","Level 7","Location 1","Confirmed Staff","Kristina Alleen","Client Service Staff",Active
213,"Brit Karoline",688,619.5,152,64,4.5,0,467.5,12.27,4.33,"PC - 3","Level 6","Location 2","Secondee-Outward-Without Pay","Kynthia Hildy","Client Service Staff",Secondment
214,"Nada Zarah",4168,3670.5,3191,496,1.5,0,779,86.95,4.33,"PC - 6","Level 7","Location 3","Confirmed Staff","Lee Alfie","Client Service Staff",Active
215,"Fredia Caryn",4168,4152,3880,16,0,0,560,93.46,4.33,"PC - 5","Level 7","Location 3","Confirmed Staff","Lian Harley","Client Service Staff",Active
216,"Wenona Datha",3928,3864,3464,64,0,104,296,89.42,4.33,"PC - 1","Level 7","Location 3","Serving Notice Period","Cynthia Leonora","Client Service Staff",Active
217,"Rosalie Kathi",576,576,280,0,0,0,328,24.3,2.67,"PC - 5","Level 8","Location 3","Serving Notice Period","Cherise Lainey","Client Service Staff",Resigned
218,"Valerie Cathy",4168,2697.84,712,1440,30.16,0,2049.84,33.06,4.25,"PC - 1","Level 6","Location 3","Confirmed Staff","Cynthia Leonora","Client Service Staff",Active
219,"Peggy Corabel",680,562,278,116,2,0,324,24.74,2.58,"PC - 3","Level 7","Location 2","Serving Notice Period","Marney Anderea","Client Service Staff",Resigned
220,"Dolly Carlynne",4168,3696.5,3951,424,47.5,10,47.5,106.65,4.25,"PC - 6","Level 7","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
221,"Margo Opaline",4168,3874.5,2343,284,9.5,16,1515.5,60.32,4.25,"PC - 1","Level 5","Location 3","Confirmed Staff","Irene Candis","Client Service Staff",Active
222,"Millisent Carmina",1936,1562.5,1277,336,37.5,0,353,40.86,3.16,"PC - 2","Level 6","Location 7","Serving Notice Period","Terza Gwyn","Client Service Staff",Resigned
223,"Aloise Asia",4168,3796,3256,344,28,0,796,85.72,4.16,"PC - 6","Level 7","Location 7","Confirmed Staff","Frances Mignonne","Client Service Staff",Active
224,"Debi Roobbie",1728,1587.5,1192,96,44.5,0,480,37.54,3.00,"PC - 6","Level 6","Location 7","Serving Notice Period","Pamelina Shalna","Client Service Staff",Resigned
225,"Lory Vinny",168,160,8,8,0,152,0,2.5,2.25,"PC - 2","Level 5","Location 7","Serving Notice Period","Annnora Gabrielle","Client Service Staff",Resigned
226,"Shanie Kipp",4168,3417.5,3405.5,744,6.5,0,20,99.66,4.25,"PC - 1","Level 7","Location 3","Confirmed Staff","Erminie Ericka","Client Service Staff",Active
227,"Karla Courtney",1768,1643,1784,104,21,0,93,54.29,3.08,"PC - 2","Level 7","Location 9","Serving Notice Period","Jolyn Briney","Client Service Staff",Resigned
228,"Kassandra Ki",4168,3745,4042,384,39,0,481.5,107.97,4.09,"PC - 5","Level 7","Location 1","Confirmed Staff","Willette Lil","Client Service Staff",Active
229,"Bernelle Elysha",4168,3742.7,0,424,1.3,0,3759,0,4.09,"PC - 3","Level A3","Location 1","Confirmed Staff","Tallia Eyde","Support Staff",Active
230,"Bamby Zahara",3608,3223.5,2886,352,32.5,705,236,88.1,4.00,"PC - 2","Level 7","Location 7","Confirmed Staff","Jillian Lorelei","Client Service Staff",Active
231,"Kippy Marquita",4168,3896,1713.5,240,32,2184,8,43.98,4.00,"PC - 1","Level 4","Location 3","Confirmed Staff","Rochette Jilleen","Client Service Staff",Active
232,"Christina Desdemona",4168,3700.5,3760,408,59.5,0,296.5,101.61,4.00,"PC - 6","Level 6","Location 1","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
233,"Sorcha Gael",912,840,523,72,0,0,342,31.13,2.50,"PC - 5","Level 7","Location 2","Serving Notice Period","Orsa Margeaux","Client Service Staff",Resigned
234,"Fanchon Vitia",4168,3515,3494.5,512,141,152,296,99.81,4.00,"PC - 3","Level 6","Location 1","Confirmed Staff","Vonni Bethena","Client Service Staff",Active
235,"Olva Fanny",1152,978,804,174,0,0,94,46,3.92,"PC - 6","Level 8","Location 2","Secondee-Outward-Without Pay","Tallia Eyde","Client Service Staff",Secondment
236,"Magda Sibella",2392,2312,2352,80,0,0,320,101,3.84,"PC - 5","Level 8","Location 3","Awaiting Termination","Gavra Kayle","Client Service Staff",Active
237,"Samantha Marylee",3208,2739,2682.5,404,65,54,132,98.58,3.75,"PC - 2","Level 6","Location 9","Confirmed Staff","Lenora Nydia","Client Service Staff",Active
238,"Jewel Theressa",4168,3570,3519,576,22,0,176,98.62,3.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Misti Helena","Client Service Staff",Active
239,"Velvet Mariana",3928,3372,3340.5,504,52,0,181.5,99.18,3.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Nanine Prudy","Client Service Staff",Active
240,"Georgina Clarinda",3448,2991.5,2392,416,40.5,0,615.5,80.6,3.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Em Cacilie","Client Service Staff",Active
241,"Clarabelle Gae",3608,3173,3061,435,0,0,200,96.4,3.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Misti Helena","Client Service Staff",Active
242,"Ebony Cordy",4168,3744.5,3552,408,15.5,0,416.5,94.68,3.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Katuscha Pru","Client Service Staff",Active
243,"Gaby Ellie",4168,3598,2775,504,66,0,903,77.12,3.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Vinni Calypso","Client Service Staff",Active
244,"Dotti Laureen",4168,3757,3378,400,11,0,457,89.64,3.75,"PC - 7","Level 6","Location 6","Confirmed Staff","Trudey Lissi","Client Service Staff",Active
245,"Carleen Maryrose",4168,2968.34,2964.5,1144,55.66,0,316,99.66,3.75,"PC - 2","Level 7","Location 7","Confirmed Staff","Terza Gwyn","Client Service Staff",Active
246,"Wendye Adrienne",1968,1708,696,248,12,0,1057,20.38,2.75,"PC - 2","Level 7","Location 7","Serving Notice Period","Annnora Gabrielle","Client Service Staff",Resigned
247,"Lucita Jolie",4168,3503.5,3422,528,136.5,8,197,97.87,3.75,"PC - 2","Level 6","Location 7","Confirmed Staff","Marys Essy","Client Service Staff",Active
248,"Wynnie Lilas",1392,1288,504,104,0,0,792,19.57,3.75,"PC - 8","Level 6","Location 7","Confirmed Staff","Aeriela Elonore","Client Service Staff",Active
249,"Tillie Abbie",4168,3504,3461,636,28,40,52,98.79,3.75,"PC - 3","Level 6","Location 1","Confirmed Staff","Nikolia Shirl","Client Service Staff",Active
250,"Raye Emmye",4168,3629,3604,484,55,0,649.5,99.1,3.75,"PC - 3","Level 6","Location 4","Confirmed Staff","Danette Melinda","Client Service Staff",Active
251,"Nessie Lotta",4168,3615.5,3610,540,12.5,0,311.5,99.81,3.75,"PC - 5","Level 7","Location 1","Confirmed Staff","Nanine Prudy","Client Service Staff",Active
252,"Emmalyn Cecile",4168,3729.5,3475.5,408,30.5,16,262,93.22,3.75,"PC - 1","Level 6","Location 3","Confirmed Staff","Ardys Katerine","Client Service Staff",Active
253,"Lindy Marguerite",4168,3660.5,572,432,75.5,3138.5,16,15.58,3.75,"PC - 6","Level 3","Location 3","Confirmed Staff","Rochette Jilleen","Client Service Staff",Active
254,"Danila Gail",1992,1772,1256,200,20,0,614,35.44,2.75,"PC - 1","Level 8","Location 3","Serving Notice Period","Isahella Gwendolin","Client Service Staff",Resigned
255,"Alaine Kare",4168,3152,2902,974,42,0,746,91.85,3.75,"PC - 3","Level 7","Location 4","Confirmed Staff","Danette Melinda","Client Service Staff",Active
256,"Sal Tiffanie",2088,1750,1610,296,42,32,217.5,46,2.75,"PC - 3","Level 8","Location 1","Serving Notice Period","Ali Elsinore","Client Service Staff",Resigned
257,"Fleur Wallis",4168,3804,3274,344,20,0,624,86.38,3.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
258,"Beryl Elysia",4168,3650.5,3529,500,17.5,0,406,96.62,3.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Nerita Anet","Client Service Staff",Active
259,"Mara Gusella",4168,3722,3312,408,38,0,527,89.07,3.75,"PC - 3","Level 6","Location 1","Confirmed Staff","Kristina Alleen","Client Service Staff",Active
260,"Kerry Noelani",4168,3722,3144,432,14,0,810,84.48,3.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Marina Garnette","Client Service Staff",Active
261,"Merlina Anetta",4168,3552.5,3600,592,23.5,0,0,101.33,3.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Marina Garnette","Client Service Staff",Active
262,"Libby Kamilah",528,512,432,8,8,0,80,42.19,2.09,"PC - 3","Level 8","Location 4","Serving Notice Period","Danette Melinda","Client Service Staff",Resigned
263,"Ralina Jolene",4168,3552.5,3787,568,47.5,0,30,106.52,3.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Marina Garnette","Client Service Staff",Active
264,"Annis Maritsa",4168,3625,3592,488,55,40,280,99.06,3.75,"PC - 2","Level 6","Location 7","Confirmed Staff","Trenna Mureil","Client Service Staff",Active
265,"Biddie Alidia",2440,2037.5,2059.5,320,82.5,0,145.5,100.65,3.75,"PC - 2","Level 7","Location 7","Serving Notice Period","Terza Gwyn","Client Service Staff",Active
266,"Rickie Nikkie",800,780,720,16,4,0,68,46.16,2.17,"PC - 2","Level 8","Location 7","Serving Notice Period","Aimil Latisha","Client Service Staff",Resigned
267,"Tatum Shirline",328,296,152,24,8,0,160,25.68,1.92,"PC - 2","Level 8","Location 7","Serving Notice Period","Jillian Lorelei","Client Service Staff",Resigned
268,"Lane Ailina",4168,3526,2109,588,54,0,1902,59.54,3.75,"PC - 5","Level 6","Location 1","Confirmed Staff","Nanine Prudy","Client Service Staff",Active
269,"Myrle Elvina",480,480,437,0,0,0,51,45.52,2.00,"PC - 1","Level 8","Location 3","Serving Notice Period","Cherry Fancie","Client Service Staff",Resigned
270,"Marcelia Ruthie",4168,3737.75,3474.75,408,22.25,0,313.5,93,3.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Ezmeralda Nisse","Client Service Staff",Active
271,"Kat Kirbie",2944,2548,2070,392,4,0,620,73.68,3.67,"PC - 6","Level 7","Location 7","Confirmed Staff","Frances Mignonne","Client Service Staff",Active
272,"Kissee Florence",4168,3810,3437,320,38,40,666,90.16,3.58,"PC - 6","Level 6","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
273,"Pavla Irina",272,248,246,24,0,0,24,49.6,1.75,"PC - 3","Level 8","Location 1","Serving Notice Period","Kristina Alleen","Client Service Staff",Resigned
274,"Ivy Gipsy",3000,2784,2312,192,24,0,606,83.04,2.25,"PC - 2","Level 7","Location 9","Serving Notice Period","Marleah Bernadina","Client Service Staff",Resigned
275,"Cordula Devan",4168,3668,2200,500,0,0,1657,59.92,3.50,"PC - 5","Level 6","Location 1","Confirmed Staff","Orsa Margeaux","Client Service Staff",Active
276,"Andee Hermione",4168,3872.5,873,288,7.5,0,2999.5,22.7,3.50,"PC - 5","Level 6","Location 1","Confirmed Staff","Willette Lil","Client Service Staff",Active
277,"Nikaniki Alysa",4168,3763.5,3785,400,4.5,16,112,100.59,3.50,"PC - 6","Level 7","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
278,"Kizzee Lind",4168,3623,3463,528,17,0,160,95.74,3.50,"PC - 1","Level 7","Location 3","Confirmed Staff","Katuscha Pru","Client Service Staff",Active
279,"Hilary Anni",768,652,622,56,60,0,124,47.7,1.92,"PC - 6","Level 8","Location 7","Serving Notice Period","Pamelina Shalna","Client Service Staff",Resigned
280,"Diana Ardelis",4168,3628,3431,480,60,146,128,94.7,3.42,"PC - 2","Level 8","Location 7","Confirmed Staff","Jillian Lorelei","Client Service Staff",Active
281,"Melania Bobbi",1600,1352,1056,248,0,40,264,39.06,2.25,"PC - 6","Level 6","Location 3","Serving Notice Period","Lindy Marguerite","Client Service Staff",Resigned
282,"Lucie Jorry",176,176,8,0,0,0,200,2.28,1.58,"PC - 2","Level 7","Location 9","Serving Notice Period","Jolyn Briney","Client Service Staff",Resigned
283,"Fay Daryn",1288,1144,496,144,0,0,656,21.68,2.08,"PC - 5","Level 8","Location 3","Serving Notice Period","Lian Harley","Client Service Staff",Resigned
284,"Penelope Merilee",4168,3510.5,1971,652,5.5,0,1567.5,56.32,3.33,"PC - 3","Level 7","Location 1","Confirmed Staff","Kathye Edna","Client Service Staff",Active
285,"Gerta Teddi",3608,3064.5,2508,528,15.5,0,614.5,78.46,3.33,"PC - 6","Level 8","Location 7","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
286,"Floria Gwenore",1584,1440,968,144,0,0,496,33.61,2.17,"PC - 6","Level 6","Location 3","Serving Notice Period","Lindy Marguerite","Client Service Staff",Resigned
287,"Avis Hilliary",4168,3504,3967,576,88,0,353,113.1,3.33,"PC - 2","Level 7","Location 7","Confirmed Staff","Aimil Latisha","Client Service Staff",Active
288,"Noel Darcee",4168,3596,3174,544,28,24,500,88.26,3.33,"PC - 2","Level 7","Location 7","Confirmed Staff","Trenna Mureil","Client Service Staff",Active
289,"Vonni Bethena",4168,3782.5,543,381,4.5,0,3281.5,14.38,3.33,"PC - 3","Level 4","Location 1","Confirmed Staff","Barbee Joey","Client Service Staff",Active
290,"Marj Kip",368,368,368,0,0,0,0,50,1.58,"PC - 5","Level 8","Location 1","Serving Notice Period","Guenevere Florida","Client Service Staff",Resigned
291,"Ardys Katerine",4168,3797,1677,304,67,1056,1156,44.26,3.33,"PC - 1","Level 3","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
292,"Brina Beverly",4168,3568,3372,528,72,16,228,94.5,3.33,"PC - 2","Level 7","Location 7","Confirmed Staff","Terza Gwyn","Client Service Staff",Active
293,"Sonya Josie",2432,2223.5,746,204,4.5,0,1509.5,19.84,3.33,"PC - 3","Level 7","Location 1","Serving Notice Period","Kathye Edna","Client Service Staff",Active
294,"Astrid Gilly",4168,4096,3973.5,64,8,0,165.5,97,3.25,"PC - 5","Level 7","Location 1","Confirmed Staff","Lian Harley","Client Service Staff",Active
295,"Misti Helena",4168,3703.5,1777,460,4.5,857,1100,48.32,3.25,"PC - 3","Level 5","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
296,"Trenna Mureil",3866,3489,1635.5,571,88,1977.5,17,47.91,3.25,"PC - 2","Level 4","Location 7","Confirmed Staff","Annnora Gabrielle","Client Service Staff",Active
297,"Costanza Genevra",648,608,32,40,0,0,576,2.63,1.58,"PC - 2","Level 8","Location 7","Serving Notice Period","Aimil Latisha","Client Service Staff",Resigned
298,"Shandy Hallie",3728,3166,2703,545,17,0,1079,86.37,3.25,"PC - 3","Level 7","Location 1","Confirmed Staff","Vonni Bethena","Client Service Staff",Active
299,"Almeta Arabella",4168,3920.5,3093,204,43.5,0,940,78.72,3.25,"PC - 5","Level 6","Location 3","Confirmed Staff","Cherise Lainey","Client Service Staff",Active
300,"Ottilie Johnna",4168,3928,2880,224,16,0,1016,73.15,3.16,"PC - 6","Level 7","Location 7","Confirmed Staff","Pamelina Shalna","Client Service Staff",Active
301,"Michaeline Malissa",4168,2916.5,2853,1224,27.5,48,425.5,94.78,3.16,"PC - 2","Level 7","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
302,"Kaitlin Allegra",4168,3514.5,3361.5,592,61.5,302.5,131,95.44,3.16,"PC - 2","Level 7","Location 9","Confirmed Staff","Jolyn Briney","Client Service Staff",Active
303,"Dixie Zuzana",3384,2972,2901,360,52,0,128,97.93,3.16,"PC - 2","Level 7","Location 7","Confirmed Staff","Laetitia Yoshi","Client Service Staff",Active
304,"Ophelie Jyoti",4168,3677.5,2045,456,34.5,0,2265.5,55.95,3.16,"PC - 3","Level 5","Location 1","Confirmed Staff","Revkah Stephie","Client Service Staff",Active
305,"Haley Brenn",4168,3652.5,3364.5,472,43.5,0,464.5,92.12,3.16,"PC - 3","Level 7","Location 1","Confirmed Staff","Benedikta Kirbee","Client Service Staff",Active
306,"Kittie Catlin",4168,3745,2890,368,55,0,1183.5,77.2,3.16,"PC - 3","Level 7","Location 2","Confirmed Staff","Marney Anderea","Client Service Staff",Active
307,"Melitta Zita",4168,3575.5,3310,556,36.5,0,528,92.14,3.16,"PC - 5","Level 7","Location 1","Confirmed Staff","Guenevere Florida","Client Service Staff",Active
308,"Noell Mercedes",4168,3723,3970,416,29,0,227,106.6,3.16,"PC - 3","Level 7","Location 1","Confirmed Staff","Ophelie Jyoti","Client Service Staff",Active
309,"Agnes Stacie",4168,3683.5,825,424,60.5,2754.5,120,21.95,3.16,"PC - 1","Level 4","Location 3","Confirmed Staff","Kippy Marquita","Client Service Staff",Active
310,"Emelda Jackqueline",4168,3459,3169,602,107,0,368,91.63,3.16,"PC - 1","Level 6","Location 3","Confirmed Staff","Irene Candis","Client Service Staff",Active
311,"Cindra Paulette",1488,1408,460,32,48,4,968,16.34,1.92,"PC - 2","Level 5","Location 7","Serving Notice Period","Beverley Laney","Client Service Staff",Resigned
312,"Eran Siusan",928,776,688,136,16,0,88,44.33,1.67,"PC - 2","Level 6","Location 7","Serving Notice Period","Nancee Deirdre","Client Service Staff",Resigned
313,"Marion Evelyn",4168,3592,3218,512,64,0,564,89.62,3.16,"PC - 1","Level 7","Location 3","Confirmed Staff","Agnes Stacie","Client Service Staff",Active
314,"Sheeree Lacee",4168,3707.4,3135,384,76.6,12,858,84.68,3.16,"PC - 6","Level 7","Location 7","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
315,"Lorilyn Chastity",4168,3721.5,3003.5,432,14.5,0,1211.5,80.7,3.09,"PC - 5","Level 7","Location 1","Confirmed Staff","Willette Lil","Client Service Staff",Active
316,"Allina Cory",1408,1304,1304,104,0,0,64,50,1.84,"PC - 5","Level 7","Location 1","Serving Notice Period","Willette Lil","Client Service Staff",Resigned
317,"Marni Hertha",3496,3144.5,3153,336,15.5,0,43.5,100.22,3.09,"PC - 3","Level 7","Location 1","Confirmed Staff","Ophelie Jyoti","Client Service Staff",Active
318,"Cherise Lainey",4168,3713.5,124,440,14.5,3055.5,542,3.28,3.09,"PC - 5","Level 4","Location 3","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
319,"Zora Quinta",4168,3960,3543,208,0,0,489,89.19,3.09,"PC - 5","Level 8","Location 3","Confirmed Staff","Cherise Lainey","Client Service Staff",Active
320,"Nan Adriaens",1528,1374.5,318,136,17.5,0,1085.5,11.57,1.84,"PC - 2","Level 5","Location 7","Serving Notice Period","Dore Natalya","Client Service Staff",Resigned
321,"Helen Elsy",4168,3606,3766,496,66,11,222,104.44,3.09,"PC - 2","Level 7","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
322,"Trula Roxana",4168,3616,3709,516,36,8,-28.5,102.56,3.09,"PC - 6","Level 7","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
