STAFF,Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Apr Utilization%,May Utilization%,Jun Utilization%,Jul Utilization%,Aug Utilization%,Sep Utilization%,Oct Utilization%,Nov Utilization%,Dec Utilization%,Jan Utilization%,Feb Utilization%,Mar Utilization%,Total Hours,Total Available Hours,Total Work Hours,Total Leave Hours,Total Training Hours,Total BD Hours,Total NC Hours,Total Utilization%
Staff 16-17,481,PC - 5,Brande Rubie,Level 7,Location 3,Client Service Staff,Confirmed Staff,Gavra Kayle,2015-11-30,Active,,100.00%,95.24%,100.00%,100.00%,100.00%,100.00%,100.00%,89.47%,111.76%,100.00%,100.00%,100.00%,2088.00,1917.00,1909.00,168.00,3.00,0.00,16.00,99.58%
Staff 16-17,482,PC - 2,Laetitia Yoshi,Level 5,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2015-11-30,Active,,34.87%,17.65%,65.28%,0.00%,25.99%,1.00%,5.00%,3.94%,63.16%,89.29%,58.00%,90.91%,2088.00,1708.00,701.00,236.00,144.00,10.00,1071.50,41.04%
Staff 16-17,483,PC - 1,Jeralee Ferne,Level 7,Location 3,Client Service Staff,Confirmed Staff,Nerissa Jackquelin,2015-11-30,Active,,100.00%,95.24%,100.00%,100.00%,90.48%,30.92%,58.54%,68.18%,123.53%,0.00%,0.00%,60.87%,2088.00,1876.00,1335.00,184.00,28.00,0.00,549.00,71.16%
Staff 16-17,484,PC - 1,Isahella Gwendolin,Level 5,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2015-11-30,Active,,80.95%,46.59%,150.00%,6.25%,43.48%,90.80%,71.43%,22.73%,191.67%,22.73%,0.00%,38.67%,2088.00,1959.00,1182.00,120.00,9.00,0.00,933.00,60.34%
Staff 16-17,485,PC - 2,Elisha Moselle,Level 7,Location 9,Client Service Staff,Confirmed Staff,Orelee Hanna,2015-11-30,Active,,105.26%,100.00%,75.19%,35.44%,73.33%,71.25%,123.53%,55.00%,88.56%,115.79%,113.43%,63.51%,2088.00,1764.50,1492.00,280.00,43.50,0.00,357.00,84.56%
Staff 16-17,486,PC - 2,Myrtie Brana,Level 4,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2015-11-30,Active,,25.64%,30.71%,11.63%,17.11%,5.49%,5.41%,23.03%,15.83%,0.00%,14.63%,31.25%,19.02%,2088.00,1832.00,304.00,208.00,48.00,642.00,937.00,16.59%
Staff 16-17,487,PC - 2,Carolynn Alicia,Level A1,Location 7,Support Staff,Confirmed Staff,Annnora Gabrielle,2015-11-30,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2088.00,1782.00,0.00,296.00,10.00,0.00,1798.00,0.00%
Staff 16-17,488,PC - 2,Libbie Melantha,Level 7,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,2015-11-30,Active,,100.00%,-2.27%,201.14%,100.00%,-47.62%,0.00%,68.42%,95.00%,111.76%,100.00%,90.00%,109.09%,2088.00,1944.00,1486.00,120.00,24.00,0.00,607.50,76.44%
Staff 16-17,489,PC - 3,Tessa Sibylla,Level 5,Location 1,Client Service Staff,Serving Notice Period,Cacilia Aimee,2015-11-30,Resigned,2016-09-30,100.00%,45.45%,-5.73%,44.59%,2.17%,0.00%,0,0,0,0,0,0,928.00,880.50,314.00,40.00,7.50,0.00,574.50,35.66%
Staff 16-17,490,PC - 5,Abagail Druci,Level 6,Location 1,Client Service Staff,Confirmed Staff,Orsa Margeaux,2015-11-30,Active,,14.06%,35.23%,90.91%,138.89%,20.83%,0.00%,0.00%,155.00%,112.50%,66.67%,72.37%,2.94%,2088.00,1784.00,1072.00,304.00,0.00,0.00,920.00,60.09%
Staff 16-17,491,PC - 1,Jillana Vivi,Level 5,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,2015-12-31,Active,,95.24%,44.05%,158.75%,60.71%,50.00%,72.29%,55.56%,84.72%,48.44%,23.75%,13.33%,34.94%,2088.00,1780.00,1124.00,256.00,52.00,0.00,672.00,63.15%
Staff 16-17,492,PC - 1,Ginni Randie,Level 7,Location 3,Client Service Staff,Confirmed Staff,Katuscha Pru,2015-12-31,Active,,76.19%,73.86%,82.74%,55.47%,0.00%,31.25%,140.00%,94.12%,114.29%,144.48%,78.95%,73.53%,2088.00,1821.50,1439.00,248.00,18.50,0.00,616.50,79.00%
Staff 16-17,493,PC - 5,Tammy Marieann,Level 8,Location 3,Client Service Staff,Confirmed Staff,Luciana Erika,2015-12-31,Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,95.24%,95.45%,112.50%,105.07%,100.00%,100.00%,2088.00,1991.50,2000.00,88.00,8.50,0.00,0.00,100.43%
Staff 16-17,494,PC - 5,Arluene Zorina,Level 7,Location 3,Client Service Staff,Confirmed Staff,Cherise Lainey,2015-12-31,Active,,100.00%,95.45%,100.00%,100.00%,34.78%,130.37%,95.24%,40.00%,113.81%,101.20%,100.00%,100.00%,2088.00,1913.50,1741.00,160.00,14.50,0.00,240.00,90.99%
Staff 16-17,495,PC - 6,Mufinella Austine,Level 8,Location 3,Client Service Staff,Confirmed Staff,Lee Alfie,2015-12-31,Active,,100.00%,63.64%,73.99%,80.00%,26.32%,68.18%,66.67%,47.62%,117.65%,23.81%,157.89%,100.00%,2088.00,1885.00,1440.00,200.00,3.00,104.00,341.00,76.39%
Staff 16-17,496,PC - 2,Pet Melisse,Level 7,Location 7,Client Service Staff,Serving Notice Period,Dorotea Inger,2015-12-31,Resigned,2016-11-30,100.00%,90.91%,109.66%,50.00%,96.17%,38.89%,33.33%,0.00%,0,0,0,0,1280.00,1103.00,825.00,176.00,1.00,31.00,256.00,74.80%
Staff 16-17,497,PC - 3,Minnaminnie Anitra,Level 7,Location 1,Client Service Staff,Confirmed Staff,Xylina Beatriz,2015-12-31,Active,,135.53%,100.00%,0.00%,147.37%,100.00%,126.97%,110.71%,98.54%,129.04%,10.00%,5.00%,0.00%,2088.00,1793.00,1399.75,280.00,15.00,0.00,538.00,78.07%
Staff 16-17,498,PC - 2,Sile Lorrie,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2015-12-31,Active,,26.32%,34.15%,17.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.80%,18.18%,18.18%,2088.00,1922.00,189.00,116.00,50.00,412.00,1567.00,9.83%
Staff 16-17,499,PC - 1,Elyn Kala,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2015-12-31,Active,,100.00%,84.52%,100.00%,102.95%,110.53%,111.63%,100.00%,119.05%,57.14%,100.00%,100.00%,100.00%,2088.00,1534.50,1595.00,496.00,57.50,0.00,29.50,103.94%
Staff 16-17,500,PC - 5,Georgeanne Shalne,Level 6,Location 3,Client Service Staff,Confirmed Staff,Cherise Lainey,2015-12-31,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,22.73%,0.00%,79.47%,0.00%,43.45%,100.00%,225.58%,2088.00,1891.00,773.00,176.00,21.00,0.00,1364.00,40.88%
Staff 16-17,501,PC - 10,Clemmie Edy,Level 8,Location 7,Client Service Staff,Serving Notice Period,Ailyn Marie-Ann,2015-12-31,Resigned,2017-03-31,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,368.00,368.00,0.00,0.00,0.00,0.00,440.00,0.00%
Staff 16-17,502,PC - 2,Dell Clary,Level 6,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2015-12-31,Active,,94.74%,100.00%,102.68%,57.64%,5.93%,76.77%,40.00%,70.79%,111.76%,152.38%,106.64%,100.00%,2088.00,1756.50,1512.00,216.00,115.50,22.00,373.50,86.08%
Staff 16-17,503,PC - 2,Rubetta Elnora,Level 8,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2015-12-31,Active,,50.00%,26.32%,2.15%,93.33%,-21.59%,60.00%,33.13%,0.00%,0.00%,81.63%,28.85%,68.18%,2088.00,1693.00,578.00,264.00,131.00,40.00,1153.00,34.14%
Staff 16-17,504,PC - 5,Adina Hyacinthia,Level 8,Location 7,Client Service Staff,Confirmed Staff,Hedwiga Mehetabel,2015-12-31,Active,,56.41%,0.00%,263.64%,95.00%,100.00%,100.00%,100.00%,0.00%,0.00%,76.25%,0.00%,23.81%,2088.00,1861.00,1362.00,216.00,11.00,0.00,499.00,73.19%
Staff 16-17,505,PC - 2,Tove Corabella,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tallulah Kassia,2015-12-31,Active,,110.53%,100.00%,100.00%,0.00%,0.00%,26.32%,0.00%,2.63%,249.21%,177.78%,126.39%,100.00%,2088.00,1792.00,1484.00,240.00,56.00,0.00,692.00,82.81%
Staff 16-17,506,PC - 1,Grayce Electra,Level 7,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,2016-01-31,Active,,100.00%,81.82%,4.62%,0.00%,225.15%,28.57%,85.00%,11.25%,112.18%,101.27%,54.55%,85.00%,2088.00,1774.50,1306.00,288.00,25.50,0.00,765.00,73.60%
Staff 16-17,507,PC - 3,Bernetta Edithe,Level 8,Location 2,Client Service Staff,Confirmed Staff,Cristina Maren,2016-01-31,Active,,29.22%,32.14%,27.52%,93.87%,48.05%,72.73%,64.71%,69.77%,87.50%,128.10%,175.00%,100.00%,2088.00,1924.00,1485.00,112.00,52.00,16.00,621.50,77.18%
Staff 16-17,508,PC - 3,Gus Alida,Level 7,Location 2,Client Service Staff,Confirmed Staff,Cristina Maren,2016-01-31,Active,,25.00%,133.63%,93.18%,15.00%,78.26%,77.27%,135.29%,45.45%,164.71%,100.00%,63.16%,45.45%,2088.00,1976.00,1572.50,112.00,0.00,0.00,598.50,79.58%
Staff 16-17,509,PC - 3,Fleurette Minny,Level 7,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2016-01-31,Active,,18.42%,113.64%,104.55%,105.19%,113.33%,104.76%,100.00%,111.76%,147.06%,109.52%,105.56%,101.10%,2088.00,1867.50,1913.00,176.00,44.50,0.00,95.50,102.44%
Staff 16-17,510,PC - 3,Maurita La Verne,Level 7,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2016-01-31,Active,,2.63%,122.73%,111.36%,102.95%,117.39%,109.09%,107.38%,109.09%,163.64%,101.73%,105.56%,100.00%,2088.00,1930.50,1989.00,120.00,37.50,0.00,120.50,103.03%
Staff 16-17,511,PC - 2,Cairistiona Honor,Level 7,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,2016-01-31,Active,,100.00%,100.00%,128.00%,100.00%,100.00%,109.52%,95.00%,40.00%,117.65%,60.00%,15.79%,94.74%,2088.00,1861.00,1632.00,168.00,59.00,152.00,144.00,87.69%
Staff 16-17,512,PC - 2,Jazmin Kyla,Level 7,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2016-01-31,Active,,100.00%,100.00%,78.26%,77.78%,140.40%,30.41%,11.90%,0.00%,123.53%,126.58%,100.00%,109.09%,2088.00,1818.00,1494.00,140.00,130.00,0.00,485.00,82.18%
Staff 16-17,513,PC - 2,Giacinta Amber,Level 7,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,2016-01-31,Active,,42.76%,72.73%,5.68%,180.00%,97.62%,59.15%,92.86%,81.20%,117.65%,85.00%,118.31%,100.00%,2088.00,1855.00,1604.00,208.00,25.00,0.00,420.00,86.47%
Staff 16-17,514,PC - 1,Krista Patrica,Level 7,Location 3,Client Service Staff,Confirmed Staff,Blondy Tatiania,2016-01-31,Active,,100.00%,90.91%,133.33%,58.18%,87.27%,90.91%,75.00%,88.89%,66.67%,88.57%,54.79%,95.65%,2088.00,1848.00,1616.00,212.00,28.00,0.00,286.00,87.45%
Staff 16-17,515,PC - 1,Zenia Sukey,Level 8,Location 3,Client Service Staff,Confirmed Staff,Blondy Tatiania,2016-01-31,Active,,100.00%,67.61%,45.45%,146.25%,100.00%,47.62%,100.00%,94.44%,111.81%,100.00%,100.00%,47.37%,2088.00,1879.50,1640.50,192.00,16.50,0.00,329.00,87.28%
Staff 16-17,516,PC - 5,Nesta Bibbie,Level 7,Location 3,Client Service Staff,Confirmed Staff,Luciana Erika,2016-01-31,Active,,30.00%,0.00%,0.00%,0.00%,27.27%,440.91%,95.00%,108.33%,105.73%,100.00%,100.00%,55.17%,2088.00,1887.50,1656.00,184.00,16.50,0.00,904.00,87.74%
Staff 16-17,517,PC - 2,Crissie Candida,Level 8,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,2016-01-31,Active,,227.94%,65.00%,31.82%,167.32%,-2.65%,19.72%,121.05%,0.00%,0.00%,243.75%,0.00%,200.00%,2088.00,1870.00,1582.00,164.00,54.00,0.00,592.00,84.60%
Staff 16-17,518,PC - 2,Alie Franni,Level 8,Location 7,Client Service Staff,Serving Notice Period,Myrtie Brana,2016-01-31,Resigned,2017-05-31,34.87%,60.98%,155.26%,86.62%,97.44%,102.78%,92.50%,90.00%,125.00%,90.00%,110.13%,100.00%,2088.00,1819.00,1715.00,192.00,77.00,0.00,237.00,94.28%
Staff 16-17,519,PC - 3,Jodee Tori,Level 7,Location 1,Client Service Staff,Confirmed Staff,Vonni Bethena,2016-01-31,Active,,70.00%,68.18%,135.00%,100.00%,100.00%,115.00%,97.56%,94.32%,250.00%,100.00%,100.00%,82.61%,2088.00,1852.00,1806.00,216.00,20.00,0.00,88.00,97.52%
Staff 16-17,520,PC - 6,Marielle Nissy,Level 6,Location 3,Client Service Staff,Confirmed Staff,Lee Alfie,2016-01-31,Active,,57.89%,95.00%,75.00%,91.28%,100.00%,61.11%,60.00%,50.00%,43.75%,136.36%,100.00%,94.74%,2088.00,1829.00,1500.00,256.00,3.00,116.00,221.00,82.01%
Staff 16-17,521,PC - 3,Bertie Kailey,Level 8,Location 2,Client Service Staff,Confirmed Staff,Cristina Maren,2016-01-31,Active,,55.26%,83.33%,71.59%,128.77%,71.43%,15.79%,235.29%,94.12%,121.43%,101.91%,104.35%,81.42%,2088.00,1858.00,1751.00,168.00,62.00,0.00,319.50,94.24%
Staff 16-17,522,PC - 2,Betsey Afton,Level 6,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2016-01-31,Active,,73.68%,123.53%,109.09%,52.29%,60.00%,100.00%,95.24%,55.17%,0.00%,0.00%,0.00%,114.94%,2088.00,1839.00,1248.00,184.00,65.00,0.00,625.00,67.86%
Staff 16-17,523,PC - 1,Deeyn Arlee,Level 10,Location 3,Client Service Staff,Serving Notice Period,Ardys Katerine,2016-01-31,Resigned,2016-05-31,95.24%,100.00%,0,0,0,0,0,0,0,0,0,0,280.00,280.00,272.00,0.00,0.00,0.00,16.00,97.14%
Staff 16-17,524,PC - 3,Sophey Odelia,Level 7,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2016-01-31,Active,,100.00%,95.45%,105.26%,102.75%,60.00%,100.00%,75.00%,179.88%,75.00%,75.00%,15.00%,153.57%,2088.00,1852.50,1794.00,184.00,51.50,0.00,225.50,96.84%
Staff 16-17,525,PC - 1,Faunie Amil,Level 6,Location 3,Client Service Staff,Confirmed Staff,Trudey Lissi,2016-01-31,Active,,51.69%,82.27%,104.55%,95.00%,104.79%,85.00%,102.86%,94.10%,111.76%,91.57%,110.53%,95.24%,2088.00,1895.00,1776.00,144.00,49.00,8.00,149.00,93.72%
Staff 16-17,526,PC - 3,Jocelyn Norah,Level 6,Location 5,Client Service Staff,Confirmed Staff,Kylen Evania,2016-01-31,Active,,75.00%,30.77%,9.79%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,81.44%,87.84%,88.24%,2088.00,1792.50,600.00,276.00,19.50,0.00,1200.50,33.47%
Staff 16-17,527,PC - 6,Denyse Johnette,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,2016-01-31,Active,,105.00%,100.00%,100.00%,100.00%,100.00%,100.00%,95.24%,95.45%,111.76%,100.00%,100.00%,100.00%,2088.00,2016.00,2024.00,56.00,16.00,0.00,-1.00,100.40%
Staff 16-17,528,PC - 3,Paule Aleen,Level 7,Location 1,Client Service Staff,Confirmed Staff,Yolanthe Laurella,2016-01-31,Active,,0.00%,77.27%,100.00%,142.50%,115.91%,98.81%,113.33%,88.89%,109.52%,100.00%,100.00%,50.00%,2088.00,1936.00,1762.00,152.00,0.00,200.00,160.00,91.01%
Staff 16-17,529,PC - 3,Olia Janeen,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-01-31,Active,,94.74%,33.33%,71.68%,130.00%,110.00%,154.67%,126.92%,96.59%,203.33%,23.81%,168.75%,108.70%,2088.00,1803.50,1897.00,208.00,76.50,0.00,223.50,105.18%
Staff 16-17,530,PC - 3,Candide Pegeen,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-01-31,Active,,27.78%,95.35%,33.02%,145.00%,113.33%,100.00%,93.94%,90.17%,124.14%,100.00%,100.00%,42.05%,2088.00,1757.50,1529.00,240.00,90.50,0.00,275.50,87.00%
Staff 16-17,531,PC - 1,Merci Ayn,Level 7,Location 3,Client Service Staff,Confirmed Staff,Vinni Calypso,2016-01-31,Active,,100.00%,52.38%,90.91%,6.25%,0.00%,0.00%,135.00%,114.29%,0.00%,0.00%,75.00%,100.00%,2088.00,1776.00,1120.00,280.00,32.00,0.00,664.00,63.06%
Staff 16-17,532,PC - 1,Isabelita Claudie,Level 8,Location 3,Client Service Staff,Serving Notice Period,Ezmeralda Nisse,2016-01-31,Active,,76.19%,86.36%,25.00%,190.48%,84.21%,116.67%,78.95%,0.00%,243.33%,77.50%,-29.41%,21.59%,2088.00,1856.00,1462.00,216.00,16.00,0.00,446.00,78.77%
Staff 16-17,533,PC - 6,Merl Ardis,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,2016-02-29,Active,,100.00%,100.00%,100.00%,100.00%,52.17%,109.52%,142.86%,95.00%,170.59%,100.00%,100.00%,100.00%,2088.00,1987.00,2075.00,112.00,-11.00,0.00,0.00,104.43%
Staff 16-17,534,PC - 2,Quintana Karlotta,Level 7,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2016-02-29,Active,,10.00%,154.76%,109.09%,100.00%,100.00%,77.27%,0.00%,0.00%,105.88%,22.73%,100.00%,76.19%,2088.00,1901.00,1377.00,168.00,19.00,0.00,628.00,72.44%
Staff 16-17,535,PC - 2,Elva Annmarie,Level 7,Location 7,Client Service Staff,Confirmed Staff,Aimil Latisha,2016-02-29,Active,,113.16%,178.21%,0.00%,111.25%,16.22%,58.82%,97.50%,43.42%,167.79%,50.31%,136.84%,100.00%,2088.00,1831.50,1642.00,176.00,80.50,3.00,341.00,89.65%
Staff 16-17,536,PC - 3,Katalin Anjela,Level 6,Location 4,Client Service Staff,Confirmed Staff,Hedi Elna,2016-02-29,Active,,150.00%,100.00%,100.00%,100.00%,100.57%,100.00%,94.74%,94.74%,100.00%,31.25%,-2.81%,21.74%,2088.00,1943.00,1584.00,136.00,9.00,0.00,440.00,81.52%
Staff 16-17,537,PC - 2,Pammy Rowe,Level 6,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,2016-02-29,Active,,52.50%,55.56%,53.41%,47.62%,13.04%,81.82%,109.52%,8.82%,0.00%,145.45%,65.00%,135.59%,2088.00,1942.00,1222.00,104.00,42.00,0.00,762.00,62.92%
Staff 16-17,538,PC - 2,Rosina Andriette,Level 7,Location 7,Client Service Staff,Serving Notice Period,Sile Lorrie,2016-01-31,Resigned,2017-04-30,71.05%,75.89%,0.00%,200.00%,35.00%,22.02%,115.00%,40.00%,102.50%,50.00%,37.50%,56.52%,2088.00,1848.00,1149.00,160.00,80.00,8.00,751.00,62.18%
Staff 16-17,539,PC - 1,Angelita Aline,Level 8,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2016-02-29,Active,,161.54%,72.62%,33.52%,145.00%,86.96%,122.22%,113.97%,98.75%,156.82%,39.02%,168.33%,64.06%,2088.00,1732.00,1716.00,352.00,4.00,0.00,104.00,99.08%
Staff 16-17,540,PC - 2,Fawn Desiri,Level 7,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2016-02-29,Active,,64.67%,120.00%,81.58%,2.55%,72.69%,97.44%,94.74%,113.64%,82.35%,122.29%,100.00%,100.00%,2088.00,1833.00,1626.50,172.00,83.00,0.00,287.50,88.73%
Staff 16-17,541,PC - 1,Elfrida Pollyanna,Level 6,Location 3,Client Service Staff,Serving Notice Period,Alvinia Ede,2016-02-29,Resigned,2017-02-28,76.19%,109.09%,109.09%,100.00%,100.00%,73.68%,119.05%,70.59%,125.00%,90.91%,83.33%,0,1888.00,1692.00,1620.00,184.00,12.00,0.00,72.00,95.74%
Staff 16-17,542,PC - 2,Gwennie Brandise,Level 7,Location 7,Client Service Staff,Confirmed Staff,Tallulah Kassia,2016-02-29,Active,,66.67%,30.00%,118.18%,100.00%,99.39%,120.59%,101.20%,53.69%,86.54%,34.09%,138.30%,126.44%,2088.00,1871.00,1669.00,139.00,78.00,0.00,372.00,89.20%
Staff 16-17,543,PC - 1,Linette Thea,Level 6,Location 3,Client Service Staff,Confirmed Staff,Em Cacilie,2016-02-29,Active,,107.14%,118.45%,89.77%,128.19%,59.62%,41.94%,55.00%,159.68%,127.21%,82.54%,18.75%,62.33%,2088.00,1740.00,1533.00,280.00,68.00,0.00,386.00,88.10%
Staff 16-17,544,PC - 6,Elli Noreen,Level 8,Location 3,Client Service Staff,Serving Notice Period,Stacey Cassey,2016-02-29,Resigned,2017-01-31,100.00%,40.91%,0.00%,76.19%,69.44%,40.91%,94.44%,45.45%,0.00%,0.00%,0,0,1648.00,1544.00,756.00,104.00,0.00,0.00,788.00,48.96%
Staff 16-17,545,PC - 3,Sheelagh Vivia,Level 7,Location 1,Client Service Staff,Confirmed Staff,Zaneta Arlette,2016-02-29,Active,,75.00%,68.18%,132.11%,100.00%,45.68%,38.10%,188.89%,90.48%,120.00%,96.88%,110.00%,100.00%,2088.00,1919.50,1848.00,152.00,16.50,0.00,91.50,96.28%
Staff 16-17,546,PC - 2,Stevana Leticia,Level 7,Location 7,Client Service Staff,Confirmed Staff,Orelee Hanna,2016-02-29,Active,,45.95%,42.86%,184.56%,46.15%,86.36%,97.30%,94.44%,93.94%,80.00%,66.67%,100.00%,119.05%,2088.00,1781.00,1571.00,280.00,27.00,0.00,372.00,88.21%
Staff 16-17,547,PC - 1,Nana Michell,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2016-02-29,Active,,108.75%,31.82%,75.00%,226.67%,100.00%,35.00%,68.42%,42.11%,85.94%,120.24%,141.18%,100.00%,2088.00,1847.00,1683.00,208.00,33.00,0.00,267.00,91.12%
Staff 16-17,548,PC - 5,Ami Concordia,Level 8,Location 3,Client Service Staff,Confirmed Staff,Gavra Kayle,2016-02-29,Active,,0.00%,50.00%,150.00%,100.00%,100.00%,100.00%,80.00%,96.51%,106.67%,101.27%,97.14%,103.23%,2088.00,1878.50,1684.00,192.00,17.50,0.00,212.00,89.65%
Staff 16-17,549,PC - 1,Claudette Jessalin,Level 7,Location 3,Client Service Staff,Confirmed Staff,Agnes Stacie,2016-02-29,Active,,76.19%,104.55%,0.00%,217.95%,84.62%,135.29%,94.74%,89.47%,117.65%,95.00%,105.63%,111.76%,2088.00,1838.00,1862.00,200.00,50.00,0.00,16.00,101.31%
Staff 16-17,550,PC - 2,Austina Dorisa,Level 4,Location 7,Client Service Staff,Serving Notice Period,Daryl Natalina,2016-03-31,Resigned,2017-02-28,0.00%,0.00%,95.45%,43.24%,43.48%,40.00%,55.26%,35.00%,29.41%,19.05%,-4.41%,0.00%,1904.00,1726.00,582.00,152.00,26.00,410.00,770.00,33.72%
Staff 16-17,551,PC - 2,Ursa Flore,Level 8,Location 7,Client Service Staff,Serving Notice Period,Aimil Latisha,2016-03-31,Resigned,2016-10-31,100.35%,75.00%,4.55%,209.90%,7.14%,2.38%,135.71%,0,0,0,0,0,1216.00,1028.50,724.00,136.00,51.50,0.00,429.50,70.39%
Staff 16-17,552,PC - 5,Tish Regan,Level 8,Location 7,Client Service Staff,Confirmed Staff,Hedwiga Mehetabel,2016-03-31,Active,,50.17%,0.00%,266.67%,94.74%,100.00%,100.00%,102.86%,10.70%,0.00%,53.66%,11.27%,100.00%,2088.00,1835.00,1400.00,184.00,69.00,0.00,467.50,76.29%
Staff 16-17,553,PC - 2,Zitella Claudetta,Level 6,Location 7,Client Service Staff,Serving Notice Period,Dorotea Inger,2016-03-31,Resigned,2016-08-31,97.44%,26.32%,109.09%,100.00%,-166.67%,0,0,0,0,0,0,0,760.00,724.00,432.00,8.00,28.00,0.00,300.00,59.67%
Staff 16-17,554,PC - 6,Yelena Engracia,Level 8,Location 3,Client Service Staff,Confirmed Staff,Stacey Cassey,2016-03-31,Active,,76.19%,113.64%,27.27%,125.60%,85.71%,118.18%,95.24%,90.00%,120.00%,100.00%,110.00%,95.65%,2088.00,1957.00,1861.00,128.00,3.00,0.00,112.00,95.09%
Staff 16-17,555,PC - 3,Liz Juanita,Level 7,Location 2,Client Service Staff,Confirmed Staff,Cristina Maren,2016-03-31,Active,,0.00%,21.05%,155.88%,23.29%,100.63%,76.19%,148.48%,33.68%,179.92%,116.83%,88.24%,100.00%,2088.00,1734.50,1485.00,297.00,56.50,0.00,496.00,85.62%
Staff 16-17,556,PC - 1,Buffy Glynda,Level 7,Location 3,Client Service Staff,Confirmed Staff,Audi Stephana,2016-03-31,Active,,37.50%,98.86%,0.00%,19.05%,263.64%,120.00%,50.00%,129.41%,70.59%,100.00%,100.00%,101.15%,2088.00,1910.00,1738.00,152.00,26.00,0.00,431.00,90.99%
Staff 16-17,557,PC - 3,Yolande Candace,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-03-31,Active,,65.00%,113.16%,107.65%,100.00%,113.45%,110.00%,100.00%,88.41%,140.00%,100.00%,107.09%,100.00%,2088.00,1761.50,1811.00,272.00,54.50,0.00,36.50,102.81%
Staff 16-17,558,PC - 3,Con Sallee,Level 7,Location 1,Client Service Staff,Confirmed Staff,Cortney Wanids,2016-03-31,Active,,101.41%,90.91%,23.32%,52.38%,57.14%,162.86%,2.67%,18.44%,93.94%,128.05%,125.32%,73.68%,2088.00,1895.00,1436.00,152.00,41.00,0.00,679.50,75.78%
Staff 16-17,559,PC - 2,Melisa Ramona,Level 7,Location 7,Client Service Staff,Confirmed Staff,Nancee Deirdre,2016-03-31,Active,,78.79%,123.36%,100.00%,101.82%,105.26%,105.26%,95.00%,94.92%,114.29%,100.00%,100.00%,100.00%,2088.00,1783.50,1806.50,180.00,124.50,0.00,81.00,101.29%
Staff 16-17,560,PC - 1,Sabina Karrah,Level 7,Location 3,Client Service Staff,Confirmed Staff,Erminie Ericka,2016-03-31,Active,,0.00%,119.89%,95.45%,125.00%,89.29%,39.77%,-80.95%,0.00%,0.00%,66.67%,105.26%,95.45%,2088.00,2000.00,1113.00,80.00,8.00,0.00,929.00,55.65%
Staff 16-17,561,PC - 3,Lauren Verna,Level 6,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,2016-03-31,Active,,0.00%,143.18%,88.63%,100.00%,100.00%,100.00%,95.24%,65.00%,0.00%,0.00%,90.00%,152.17%,2088.00,1937.50,1548.00,136.00,14.50,0.00,596.50,79.90%
Staff 16-17,562,PC - 6,Mireille Barbie,Level 6,Location 3,Client Service Staff,Confirmed Staff,Lee Alfie,2016-04-30,Active,,57.89%,70.18%,104.76%,90.48%,80.00%,109.09%,100.00%,47.62%,81.82%,90.91%,116.67%,28.57%,2080.00,1835.00,1504.00,232.00,13.00,80.00,267.00,81.96%
